si_gun_gu,house_num,main_num,sub_num,apt_name,dedicated_area,contract_yymm,contract_dd,amt_10000,floor,construction_yy,road_name
강원도 강릉시 견소동,202,202,0,송정한신,84.945,201804,1~10,15800 ,2,1997,경강로2539번길
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201804,11~20,11800 ,3,1997,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201804,11~20,27500 ,15,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201804,11~20,28000 ,14,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201804,21~30,26300 ,6,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201804,21~30,16500 ,5,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201804,21~30,18500 ,8,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201804,21~30,19000 ,10,2005,경강로2539번길
강원도 강릉시 교동,1984,1984,0,강릉 교동 풍림아이원 아파트,66.0388,201804,21~30,25000 ,10,2017,화부산로40번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201804,11~20,41500 ,11,2009,화부산로99번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,84.9866,201804,21~30,28000 ,2,2009,화부산로99번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1008,201804,21~30,34200 ,1,2009,화부산로99번길
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201804,1~10,20300 ,11,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201804,1~10,16950 ,12,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,201804,11~20,13650 ,14,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,201804,21~30,13500 ,8,1999,가작로
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,201804,11~20,24400 ,14,1999,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201804,11~20,18400 ,8,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201804,11~20,17700 ,15,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201804,21~30,17900 ,2,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201804,21~30,18500 ,15,2002,교동광장로
강원도 강릉시 교동,37-11,37,11,교동임대,51.66,201804,11~20,7500 ,2,1987,명륜로
강원도 강릉시 교동,758-17,758,17,금강아파트,68.99,201804,1~10,3412 ,4,1982,율곡로2953번길
강원도 강릉시 교동,332-2,332,2,대인맨션,78.96,201804,11~20,11900 ,8,1991,화부산로141번길
강원도 강릉시 교동,1429-1,1429,1,민락,54.81,201804,11~20,8800 ,1,1985,하슬라로10번길
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201804,11~20,19050 ,3,2001,하슬라로
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201804,11~20,20000 ,6,2001,하슬라로
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201804,21~30,19300 ,6,2001,하슬라로
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201804,21~30,18000 ,4,2001,하슬라로
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201804,1~10,20000 ,2,2001,교동광장로
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201804,11~20,18300 ,2,2001,교동광장로
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201804,21~30,22000 ,3,2001,교동광장로
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201804,11~20,21200 ,6,2003,정원로
강원도 강릉시 교동,37-3,37,3,예성그린1,33.9,201804,11~20,6500 ,2,1995,가작로252번길
강원도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,201804,11~20,12000 ,4,1992,화부산로
강원도 강릉시 교동,46-1,46,1,한신,84.98,201804,11~20,15000 ,4,1997,명륜로
강원도 강릉시 교동,1759,1759,0,현대하이빌,99.96,201804,11~20,23500 ,2,1999,원대로128번길
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,201804,1~10,13700 ,3,1992,홍제로
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,201804,11~20,13500 ,8,1992,홍제로
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,201804,11~20,13700 ,12,1992,홍제로
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,201804,1~10,9030 ,3,1993,남부로125번길
강원도 강릉시 내곡동,127,127,0,남산삼익,84.48,201804,11~20,11900 ,10,1993,남부로125번길
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,201804,21~30,9650 ,6,1993,남부로125번길
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,201804,1~10,13100 ,10,1998,범일로
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,201804,11~20,4000 ,5,1989,관대길16번길
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,201804,1~10,17300 ,12,1997,강변로
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201804,1~10,13400 ,16,1997,강변로
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201804,11~20,12000 ,17,1997,강변로
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,201804,21~30,12200 ,1,1997,강변로
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201804,11~20,16800 ,8,2008,남산초교길11번길
