si_gun_gu,house_num,main_num,sub_num,apt_name,dedicated_area,contract_yymm,contract_dd,amt_10000,floor,construction_yy,road_name
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201810,1~10,12900 ,9,1997,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201810,21~31,18250 ,8,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201810,21~31,27500 ,13,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201810,21~31,18000 ,9,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201810,21~31,16400 ,9,2005,경강로2539번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,201810,1~10,35000 ,5,2009,화부산로99번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201810,21~31,40000 ,4,2009,화부산로99번길
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201810,1~10,16500 ,12,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201810,11~20,16000 ,12,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201810,11~20,17000 ,11,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201810,11~20,15650 ,10,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201810,11~20,16000 ,13,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201810,21~31,15300 ,6,1999,가작로
강원도 강릉시 교동,1767,1767,0,교동2현대,99.98,201810,21~31,25500 ,13,1999,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,201810,1~10,17300 ,11,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201810,1~10,17400 ,7,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.79,201810,11~20,17800 ,10,2002,교동광장로
