year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2010-07,24061,3513,1903,850,968,80,1382,389,0,6438,929,339,914,422,477,2656,2728,73
2010-08,33428,4254,378,2496,958,1629,1852,41,0,13396,659,1858,1175,1043,885,2073,626,105
2010-09,18968,1458,336,1196,763,82,1040,158,0,6707,775,912,1707,374,983,509,1837,131
2010-10,32676,1963,455,96,4420,1185,2675,907,0,12050,1237,2142,974,333,360,2307,1036,536
2010-11,24130,1947,921,617,3587,63,245,3021,0,6017,383,1560,1033,1012,1270,1651,642,161
2010-12,62707,10049,2224,2315,8209,1896,3359,462,0,14421,1700,1161,2237,4742,1298,2870,3850,1914
2011-01,22704,7033,2334,121,585,508,195,787,0,4562,295,1055,1888,272,377,718,865,1109
2011-02,20061,4795,1191,2732,3317,53,78,65,0,4306,167,137,389,1533,205,293,470,330
2011-03,24744,1642,1527,1339,5511,1274,254,132,0,7752,123,498,348,791,1598,947,892,116
2011-04,20831,5293,824,84,1621,104,840,117,0,7746,166,196,264,1248,797,328,971,232
2011-05,21125,2304,612,907,2430,68,107,262,0,3846,681,1340,1574,1674,1321,1841,1995,163
2011-06,33422,4355,3336,188,1303,1746,903,1567,0,10761,754,1038,2906,503,537,1670,1747,108
2011-07,24891,6276,1046,280,3142,774,1265,552,0,5407,364,999,531,553,966,640,1775,321
2011-08,26282,3573,1258,1044,3287,97,1917,217,0,7638,920,460,547,485,1152,1313,2052,322
2011-09,25590,4460,2914,402,2214,1183,1011,210,0,6694,516,437,1233,619,518,1783,1224,172
2011-10,47243,7818,1224,229,2896,1784,4149,180,0,17945,412,443,3749,1109,690,1287,3169,159
2011-11,33097,8427,5746,215,1410,965,3575,491,0,5598,489,862,1106,516,530,1815,907,445
2011-12,38823,9117,2647,3028,1946,540,666,380,0,10274,1355,1227,1861,737,892,1917,1356,880
2012-01,26653,5944,1272,247,883,203,2815,255,0,7461,354,469,2692,789,528,1019,1147,575
2012-02,26586,4207,1855,1946,2277,244,228,212,0,8235,1097,831,1037,348,1239,736,1407,687
2012-03,23295,3489,2197,864,3069,220,290,1133,0,5741,157,501,598,447,1115,622,2283,569
