year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2007-01,12038,1530,455,818,69,1022,55,183,0,2647,452,188,1004,888,206,698,1691,132
2007-02,17751,794,1099,2731,116,1178,34,1173,0,2870,190,305,1306,602,494,2244,2515,100
2007-03,20038,1888,2121,1047,930,1347,65,685,0,3188,389,694,1890,663,391,2314,2321,105
2007-04,19186,1963,364,514,3337,226,81,2281,0,3987,1154,464,701,474,1219,1224,1049,148
2007-05,30593,1866,897,575,211,2071,511,244,0,13168,513,680,3087,311,353,850,5178,78
2007-06,30830,1893,235,887,5349,139,427,1787,0,7071,1535,2549,1600,927,3090,1184,1714,443
2007-07,45848,7338,9678,439,1207,1559,54,4248,0,10964,483,803,1856,315,1698,3482,1429,295
2007-08,48461,11719,6688,754,1401,478,51,1506,0,15170,1222,2075,1407,402,757,1200,3220,411
2007-09,55745,13182,5079,2305,4464,1117,46,4007,0,15969,913,1202,991,240,1762,2711,1714,43
2007-10,103817,8146,6098,75,8846,2891,3178,1265,0,54836,932,2317,4175,1217,1698,5441,2467,235
2007-11,75485,4768,4741,3069,7673,2336,1104,3969,0,29143,1091,3900,6363,2026,2760,812,1617,113
2007-12,96000,7755,3799,4960,7968,-1276,5574,3159,0,39125,1803,4806,4937,3777,827,2125,6588,73
2008-01,20876,1401,628,6983,931,46,294,1137,0,3445,1304,664,1098,161,196,350,1415,823
2008-02,13246,2577,635,97,1760,42,2694,105,0,2525,213,307,365,235,331,615,646,99
2008-03,17316,1062,1144,98,1170,3099,55,152,0,3748,676,515,1501,358,964,1535,1007,232
2008-04,34190,14590,788,1534,1156,111,1628,391,0,5330,700,483,3034,1624,900,862,853,206
2008-05,25999,6269,2321,57,2527,0,142,612,0,4286,1479,877,1478,292,361,1354,3880,64
2008-06,20633,5053,351,3303,2081,-2867,297,174,0,3285,407,775,2136,593,386,827,3744,88
2008-07,22805,4388,113,762,3401,46,36,145,0,7603,529,313,448,1223,207,1857,1688,46
2008-08,22086,2409,113,1097,3116,33,81,104,0,9575,305,281,311,282,950,2035,698,696
2008-09,18734,1522,50,703,1546,305,69,1348,0,3297,1259,826,580,2318,298,1866,1787,960
2008-10,21746,1521,191,74,1248,67,971,298,0,8229,958,1172,2202,1250,552,945,1650,418
2008-11,32403,1603,2099,56,610,1322,1721,213,0,15821,780,1482,1475,628,354,853,2904,482
2008-12,121251,6022,5161,8116,14086,1741,6568,1218,0,48387,4625,2319,7029,3099,5350,2782,4103,645
2009-01,9363,764,74,25,496,30,15,72,0,1825,1306,1956,1592,127,174,543,322,42
2009-02,10454,1852,41,38,2511,539,668,108,0,1763,237,263,277,1069,358,349,346,35
2009-03,14127,1256,133,57,2279,78,67,312,0,4903,677,581,484,964,416,940,904,76
2009-04,16386,1812,448,700,3643,94,62,169,0,2616,494,376,573,388,717,3374,813,107
2009-05,16850,3359,141,76,2557,77,55,101,0,2872,2066,812,509,326,463,1726,992,718
2009-06,31781,1386,602,60,1877,59,86,117,0,9821,2066,383,7330,1958,1605,1350,2984,97
2009-07,23065,765,247,1189,7431,777,73,96,0,5311,485,384,1358,2892,573,736,616,132
2009-08,23866,903,436,78,7596,63,129,1752,0,6290,384,505,2976,257,1349,479,520,149
2009-09,32201,1663,1041,124,3073,79,258,171,0,15012,437,1695,1836,358,499,1345,4463,147
2009-10,24450,2430,284,132,3817,275,201,139,0,10159,414,443,490,1109,458,846,3104,149
2009-11,33739,3520,1973,116,7513,873,154,171,0,14743,966,337,451,288,460,507,1347,320
2009-12,145505,16380,1086,4050,16726,2080,81,3520,0,84234,2780,3802,4984,1898,1912,1121,708,143
2010-01,9282,1273,466,312,1442,38,53,295,0,2592,267,262,337,156,255,557,826,151
2010-02,15237,1236,268,65,2314,70,71,118,0,5593,533,276,989,195,314,418,2542,235
