year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2011-01,10036,1091,2065,98,917,26,537,372,0,1488,788,148,741,130,256,352,727,300
2011-02,13932,2102,1677,137,1226,47,188,153,0,4244,614,338,329,248,626,404,1152,447
2011-03,29567,8842,2218,183,1478,125,860,1699,0,6815,642,954,1781,627,680,950,1174,539
2011-04,45332,6342,5175,1387,2960,726,275,1754,0,11685,665,943,2069,2732,835,1971,4546,1267
2011-05,32679,4636,2378,964,1230,190,2332,868,0,7248,1915,2353,1107,966,976,1063,3850,603
2011-06,29262,8728,4796,415,2132,911,233,423,0,4143,537,759,1561,615,1430,718,1334,527
2011-07,27323,5625,1926,460,957,1202,218,375,0,4242,893,766,791,810,3275,1082,3356,1345
2011-08,27392,4356,1625,269,1312,4118,589,643,0,6417,437,733,982,589,1769,1153,2039,361
2011-09,31963,5457,2343,350,1623,450,2747,386,0,5728,848,815,2602,597,973,2007,4587,450
2011-10,58082,9522,1957,2203,899,176,5212,2781,0,16367,1595,2059,4481,2225,1609,1488,4644,864
2011-11,51305,5091,5563,298,1930,310,732,449,0,13302,2185,1833,7997,1683,2517,1084,5120,1211
2011-12,67396,15865,8738,697,4131,1125,2502,262,0,16384,3369,2447,-570,3581,2371,3328,2049,1117
2012-01,20765,5486,1508,136,1940,1996,433,222,0,3384,203,247,397,308,871,658,2448,528
2012-02,29699,4713,2181,331,738,2625,598,453,0,4374,343,528,4859,1484,728,816,3805,1123
2012-03,43580,8786,2240,664,1888,1233,796,1309,0,9225,707,2944,3148,1697,1388,3931,2310,1314
2012-04,31510,7302,2495,523,764,694,346,1204,0,6333,727,1534,3017,1534,1071,1329,1465,1172
2012-05,46243,8727,2832,1497,708,1470,332,1258,0,6601,1332,1859,4026,1255,3462,2182,7716,986
2012-06,53476,4294,2531,1685,785,1681,300,2588,0,21436,584,1044,4641,3322,2131,1786,3864,804
2012-07,29836,6108,1544,180,1251,944,444,783,0,7103,255,1027,1831,1030,2094,2148,904,2932
2012-08,44892,8910,3752,783,777,4569,138,541,567,9315,2595,3015,2336,1981,788,2119,1766,940
2012-09,47467,8331,2698,327,375,1115,894,3088,954,15862,1164,1419,2076,745,1926,2529,2641,1323
2012-10,40752,3361,3383,1226,2996,2252,522,798,1266,13389,1269,564,1161,1117,727,1799,4468,454
2012-11,32772,2637,5096,467,446,1396,292,354,3522,5634,559,1880,866,2740,1828,2970,1574,511
2012-12,60003,4619,3896,5921,1796,1289,2603,595,2670,18639,555,1208,4584,2539,5256,2254,1263,316
2013-01,16926,1900,1092,177,388,759,118,426,1374,4381,236,223,1873,454,579,1828,722,396
2013-02,30621,3944,1410,1049,357,1185,187,105,1869,11417,956,853,2052,2430,401,1504,639,263
2013-03,34876,5181,1658,4093,628,86,831,2172,1634,6194,881,2002,1026,707,868,2392,4139,384
2013-04,35651,3709,1247,2062,526,2154,201,182,1082,10142,845,984,2186,1848,1476,2942,3602,463
2013-05,29677,4283,1267,1445,852,584,254,1070,1122,5971,1053,811,1263,1474,1694,3421,2649,464
2013-06,34233,4771,2155,238,4649,365,282,253,2668,7853,582,2074,1494,1002,843,2793,1719,492
2013-07,32409,4734,2519,836,695,419,117,283,393,11789,629,583,2513,1184,665,2268,2420,362
2013-08,32409,4734,2519,836,695,419,117,283,393,11789,629,583,2513,1184,665,2268,2420,362
2013-09,30047,2717,1152,2765,768,220,630,160,50,11070,504,1621,2449,1088,847,1040,2742,224
2013-10,39033,5161,1525,2469,531,447,1186,682,989,7485,962,3069,7001,626,1550,2436,1880,1034
2013-11,48529,10792,3403,4588,571,1013,1646,1963,2695,8610,2522,1922,647,1434,645,3899,1766,413
2013-12,61533,10297,3301,3745,1585,779,2100,425,2232,20036,1769,2163,2257,791,3785,-215,5222,1261
2014-01,21260,2589,2425,1204,645,31,273,141,436,4312,164,935,531,1507,1221,1751,2436,659
2014-02,25381,3632,3720,2031,1206,820,78,430,246,4598,894,1460,899,745,660,1928,1620,414
2014-03,39059,6094,2469,3449,1499,1561,317,283,193,9491,1311,1427,2387,569,3410,3085,995,519
2014-04,48086,4411,1511,1032,1023,716,339,310,1001,16400,1061,3403,2290,2905,4177,2713,3459,1335
2014-05,37181,5062,1022,1033,674,1561,1384,246,369,10407,1693,1371,2054,1381,969,1315,6239,401
2014-06,45682,5738,2246,6493,856,832,1566,266,4278,7426,2307,858,4699,586,2831,2418,1253,1029
2014-07,34378,4313,1219,542,799,1388,89,310,145,8496,1222,1430,2076,1233,750,4643,3846,1877
2014-08,31577,5867,1378,912,748,1033,190,183,50,9042,911,1721,742,680,485,1093,5895,647
2014-09,46934,4432,2076,3380,994,1923,1289,576,1750,8767,2297,1375,5242,902,2201,4399,4099,1232
2014-10,60085,6661,3589,354,823,1660,373,3356,3328,18413,531,3121,2709,520,1221,4411,8946,69
2014-11,57064,6586,5019,3172,930,2024,244,1533,4157,16045,1814,424,4903,725,769,3241,4123,1355
2014-12,60979,6628,3102,4695,707,612,1194,1133,773,24322,425,1529,1335,659,1807,4510,6903,645
2015-01,29819,3838,1175,2495,789,307,563,160,1187,6460,387,2302,1959,611,1334,2718,1658,1876
2015-02,25756,2936,790,324,514,158,273,1485,228,11433,731,678,1606,278,834,1473,1478,537
2015-03,54948,6467,3580,409,3011,1122,1222,840,108,17725,780,1192,3910,1803,562,4014,7266,937
2015-04,168365,18847,7790,3933,5358,2527,2278,3669,2622,60710,2801,6417,12363,4299,3859,12180,14145,4567
2015-05,54854,6446,1769,1381,2048,363,1983,728,56,21951,1372,1480,3247,1147,938,5359,3613,973
2015-06,120479,14003,8178,2797,5226,931,2959,1623,1564,42074,4419,5902,6918,1824,1904,9437,8052,2668
2015-07,54593,9538,4076,2226,973,1474,275,1104,2578,19572,773,1701,1511,935,745,1938,3782,1392
2015-08,68609,7659,2464,1867,5632,1716,251,273,2586,27671,494,1416,4855,987,1435,4233,3786,1284
2015-09,50198,11729,1912,492,1713,249,287,293,1805,13345,538,1847,2959,2331,3377,2773,3540,1008
2015-10,98730,17009,2009,843,5964,832,2976,1438,1051,33834,4412,7519,3400,5534,2916,4464,3418,1111
2015-11,73351,5925,2411,3333,1201,754,369,5297,338,32173,1476,2557,6807,1329,950,5502,1749,1180
2015-12,82434,12053,1488,3103,4887,1749,790,258,2460,26757,6326,4339,3781,1496,1417,4396,5433,1701
2016-01,31161,5710,1799,2085,564,2249,236,784,61,6425,1385,368,3855,612,871,1675,960,1522
2016-02,32106,4847,1903,-119,621,666,175,213,42,9562,950,409,595,1077,646,1956,7469,1094
2016-03,54475,6166,4973,3003,1394,140,2708,277,887,19536,1618,1720,1494,1417,2385,2493,2032,2232
2016-04,66625,5589,3589,497,1065,3269,389,3306,2576,22329,808,4363,2243,873,1575,2958,8489,2707
2016-05,53383,4879,2948,623,974,1846,217,279,38,20583,3052,1927,2009,2599,1116,3690,5368,1235
2016-06,61743,11357,3219,2242,667,457,156,424,1125,22723,3426,854,3973,490,2606,1948,4258,1818
2016-07,53657,3690,1092,3056,934,215,480,366,649,25732,762,3787,1322,2153,876,2034,5172,1337
2016-08,47748,8909,3707,421,1789,2784,335,404,258,13431,1860,1432,1582,2179,1072,3168,2487,1930
2016-09,450424,57046,23915,11938,10683,11928,5129,6993,7451,161383,15621,15813,17743,12964,11728,24595,40216,15278
2016-10,55236,8357,1768,124,644,68,1469,4161,119,19921,4720,1199,1447,434,1787,2257,5754,1007
2016-11,68092,7414,4546,1491,2982,2757,1351,1720,2651,20175,1487,2696,1160,1732,3111,4221,6788,1810
2016-12,84204,8596,4436,1925,1446,2564,944,1761,1902,36047,6034,1709,4060,2661,1035,3187,3932,1965
2017-01,26688,5121,2615,603,726,914,383,176,24,7461,861,480,692,2317,818,1554,646,1297
2017-02,36135,3879,1564,151,922,2411,1306,1673,27,8792,911,4515,2226,358,707,1644,4068,981
2017-03,37301,6307,1480,975,457,2061,295,175,37,11926,644,1383,1279,2928,1575,1520,2967,1292
2017-04,33756,7461,1598,1877,1175,1138,210,173,774,7011,695,3647,935,1311,776,930,3049,996
2017-05,34919,2474,1321,415,1961,1754,659,433,31,12996,1152,2217,1465,1121,735,3122,1953,1110
2017-06,50724,7619,1982,674,848,96,152,546,168,18540,2895,1717,3386,1724,665,4196,4061,1455
2017-07,40021,10136,3158,825,717,1568,796,104,370,11839,1770,397,1072,1362,1078,903,2573,1353
2017-08,51554,7927,5784,1257,2850,2350,1011,992,333,16130,2466,425,2132,2332,653,1037,3005,870
2017-09,47888,8866,5552,866,462,3479,216,213,57,17233,1608,2030,951,1074,925,730,2588,1038
2017-10,34823,4269,5314,278,908,1517,508,292,24,13423,896,702,1222,1988,579,641,1696,566
2017-11,46573,9674,4724,678,449,1977,75,139,79,10207,3690,1097,2261,2372,4158,1071,3102,820
2017-12,103892,13157,1876,3883,3099,842,4217,1287,4345,40459,5246,6413,3638,2731,5665,2231,3851,952
